mil_pin,normalized_pin,manufacturer,product_line,manufacturer_part_number,confidence,notes
D38999/26WD35PN,D38999/26WD35PN,Amphenol,TV Series III aluminum commercial,TV06RW-15-35PN,exact for listed aluminum finishes,"Commercial prefixes are from the Amphenol Series III how-to-order table. Composite, stainless and hermetic family names are documented, but the exact finish-specific commercial prefixes were not complete enough in the extracted text to automate safely."
D38999/26WD35PN,D38999/26WD35PN,Conesys,Aero-Electric AE3 Series III environmental,AE326WD35PN,exact from part-number development table,Conesys marks normal N in Series III part numbers.
D38999/26WD35PN,D38999/26WD35PN,Glenair,233-105 Series III environmental,233-105-G6NF15-35PN,"exact style pattern, finish map from table",Glenair environmental pages list only P and S contacts in this catalog section. Finish Z maps to Glenair ZN per the extracted table; confirm if black zinc-nickel ZR is required.
D38999/26WD35PN,D38999/26WD35PN,ITT Cannon,KJA Series III aluminum/stainless D38999-style,KJA6T15W35PN,exact pattern; catalog states D38999-style cross-reference only,ITT catalog disclaimer says the facility/product is not currently DLA QPL/QML certified; use as commercial equivalent.
D38999/26WD35PN,D38999/26WD35PN,Souriau,8D Series III aluminum/composite/stainless,8D5-15W35PN,exact from 8D connector part-number pages,"8D commercial format uses numeric shell size; A becomes 09. H/J contacts are only documented for composite pages, so confirm before use outside J/M classes."
D38999/26WD35PN,D38999/26WD35PN,TE Deutsch,DTS Series III aluminum/stainless,DTS26W1535PN,exact from TE Deutsch QRG,DTS commercial uses numeric shell size. Hermetic styles remap to DTS 20/24/21/23 per TE table.
D38999/20MD35PN,D38999/20MD35PN,Glenair,233-105 Series III environmental,233-105-00XM15-35PN,"exact style pattern, finish map from table",Glenair environmental pages list only P and S contacts in this catalog section. Finish Z maps to Glenair ZN per the extracted table; confirm if black zinc-nickel ZR is required.
D38999/20MD35PN,D38999/20MD35PN,ITT Cannon,KJB Series III composite D38999-style,KJB0T15M35PN,exact pattern; catalog states D38999-style cross-reference only,Composite quick-order section lists /20 and /26 styles.
D38999/20MD35PN,D38999/20MD35PN,Souriau,8D Series III aluminum/composite/stainless,8D0-15M35PN,exact from 8D connector part-number pages,"8D commercial format uses numeric shell size; A becomes 09. H/J contacts are only documented for composite pages, so confirm before use outside J/M classes."
D38999/20MD35PN,D38999/20MD35PN,TE Deutsch,ACT Series III composite,ACT20MD35PN,exact from TE Deutsch QRG,ACT commercial uses the military shell-size letter rather than DTS numeric shell size.
D38999/21YB35PN,D38999/21YB35PN,Conesys,Aero-Electric AE3 Series III hermetic,AE321YB35PN,exact from hermetic part-number development table,"Hermetic Conesys table lists pin-only solder cup, eyelet and PCB contacts."
D38999/21YB35PN,D38999/21YB35PN,Glenair,233-100 Series III hermetic,233-100-H2Z111-35PN,exact from hermetic pages,"Z1 is CRES passivated, ZL is CRES nickel."
D38999/21YB35PN,D38999/21YB35PN,TE Deutsch,DTS Series III aluminum/stainless,DTS20Y1135PN,exact from TE Deutsch QRG,DTS commercial uses numeric shell size. Hermetic styles remap to DTS 20/24/21/23 per TE table.
D38999/43NB35PN,D38999/43NB35PN,Conesys,Aero-Electric AE4 Series IV hermetic,AE443NB35PN,exact with source typo noted,"The Conesys table line says 47 for weld mount, but the same catalog page and TOC identify D38999/48 as AE448 weld mount."
D38999/43NB35PN,D38999/43NB35PN,Eaton,Breech-Lok Series IV hermetic,BLH7N11-35PN,exact from ordering table,Eaton lists N and Y hermetic finish classes as QPL certified.
D38999/43NB35PN,D38999/43NB35PN,Glenair,234-100 Series IV hermetic,234-100-H7ZL11-35PN,exact from hermetic pages,Series IV hermetic shell size A/09 is not listed.
D38999/46WB35PN,D38999/46WB35PN,Eaton,Breech-Lok Series IV general purpose,BLG6W11-35PN,exact from ordering table,"Class F, W and K QPL status varies by shell type; see Eaton ordering table."
