rule_id,manufacturer,product_line,series,format,confidence,notes
1,Amphenol,TV Series III aluminum commercial,III,amphenol_prefix,exact for listed aluminum finishes,"Commercial prefixes are from the Amphenol Series III how-to-order table. Composite, stainless and hermetic family names are documented, but the exact finish-specific commercial prefixes were not complete enough in the extracted text to automate safely."
2,Conesys,Aero-Electric AE3 Series III environmental,III,conesys,exact from part-number development table,Conesys marks normal N in Series III part numbers.
3,Conesys,Aero-Electric AE3 Series III hermetic,III,conesys,exact from hermetic part-number development table,"Hermetic Conesys table lists pin-only solder cup, eyelet and PCB contacts."
4,Conesys,Aero-Electric AE4 Series IV hermetic,IV,conesys,exact with source typo noted,"The Conesys table line says 47 for weld mount, but the same catalog page and TOC identify D38999/48 as AE448 weld mount."
5,Eaton,Breech-Lok Series IV general purpose,IV,eaton,exact from ordering table,"Class F, W and K QPL status varies by shell type; see Eaton ordering table."
6,Eaton,Breech-Lok Series IV hermetic,IV,eaton,exact from ordering table,Eaton lists N and Y hermetic finish classes as QPL certified.
7,Glenair,233-105 Series III environmental,III,glenair,"exact style pattern, finish map from table",Glenair environmental pages list only P and S contacts in this catalog section. Finish Z maps to Glenair ZN per the extracted table; confirm if black zinc-nickel ZR is required.
8,Glenair,233-100 Series III hermetic,III,glenair,exact from hermetic pages,"Z1 is CRES passivated, ZL is CRES nickel."
9,Glenair,234-100 Series IV hermetic,IV,glenair,exact from hermetic pages,Series IV hermetic shell size A/09 is not listed.
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,III,itt,exact pattern; catalog states D38999-style cross-reference only,ITT catalog disclaimer says the facility/product is not currently DLA QPL/QML certified; use as commercial equivalent.
11,ITT Cannon,KJB Series III composite D38999-style,III,itt,exact pattern; catalog states D38999-style cross-reference only,Composite quick-order section lists /20 and /26 styles.
12,Souriau,8D Series III aluminum/composite/stainless,III,souriau,exact from 8D connector part-number pages,"8D commercial format uses numeric shell size; A becomes 09. H/J contacts are only documented for composite pages, so confirm before use outside J/M classes."
13,TE Deutsch,DTS Series III aluminum/stainless,III,te_dts,exact from TE Deutsch QRG,DTS commercial uses numeric shell size. Hermetic styles remap to DTS 20/24/21/23 per TE table.
14,TE Deutsch,ACT Series III composite,III,te_act,exact from TE Deutsch QRG,ACT commercial uses the military shell-size letter rather than DTS numeric shell size.
